,Size,Fold,k,Accuracy,Time,Kappa,Recall,F1 Score
2,20000.0,10.0,10.0,0.9585,2518.1789999999182,0.953854497671459,0.9585,0.9584687606543996
3,20000.0,10.0,10.0,0.952,2541.4160000000265,0.9466084105101344,0.952,0.9520056362887965
4,20000.0,10.0,10.0,0.9655,2494.2499999999654,0.9616557172437018,0.9655,0.9654540660006694
5,20000.0,10.0,10.0,0.96,2449.3929999998727,0.9554986432648865,0.96,0.9599267873348836
6,20000.0,10.0,10.0,0.961,2448.797000000013,0.9566247975476327,0.961,0.9609586708991269
7,20000.0,10.0,10.0,0.962,2448.447999999871,0.9577198186959067,0.962,0.9619109954263737
8,20000.0,10.0,10.0,0.957,2446.0860000001503,0.952166363164095,0.957,0.9567832722456647
9,20000.0,10.0,10.0,0.9555,2448.3949999998913,0.9504921855530635,0.9555,0.9553761286926815
0,42000.0,2.0,10.0,0.9605714285714285,32149.29499999994,0.9561688813304828,0.9605714285714285,0.9604875794257084
1,42000.0,2.0,10.0,0.958952380952381,30648.56600000007,0.9543722208159272,0.958952380952381,0.9588414496956308
0,42000.0,5.0,10.0,0.9677380952380953,19307.483000000047,0.9641391962523286,0.9677380952380953,0.9676962694368948
1,42000.0,5.0,10.0,0.9677380952380953,19311.573999999837,0.9641299985955486,0.9677380952380953,0.9676830435947134
2,42000.0,5.0,10.0,0.9652380952380952,19332.630000000107,0.9613601759964586,0.9652380952380952,0.9651922862358864
3,42000.0,5.0,10.0,0.9652380952380952,19314.83899999989,0.961362330089673,0.9652380952380952,0.9651395102840946
4,42000.0,5.0,10.0,0.9686904761904762,19383.77999999989,0.9651905195879038,0.9686904761904762,0.9686254933151281
0,42000.0,10.0,10.0,0.9716666666666667,10897.979999999961,0.9685064336856899,0.9716666666666667,0.9716149700620414
1,42000.0,10.0,10.0,0.9714285714285714,10945.980999999847,0.9682319691527378,0.9714285714285714,0.9714298403778101
2,42000.0,10.0,10.0,0.9707142857142858,10860.854000000018,0.9674415239433999,0.9707142857142858,0.9706527693465252
3,42000.0,10.0,10.0,0.9711904761904762,10854.33799999987,0.9679590117454622,0.9711904761904762,0.9711586013576017
4,42000.0,10.0,10.0,0.9666666666666667,10839.251000000104,0.9629418242101314,0.9666666666666667,0.9666124893510273
5,42000.0,10.0,10.0,0.9635714285714285,10864.462999999887,0.9595100297739272,0.9635714285714285,0.9635136819182561
6,42000.0,10.0,10.0,0.9642857142857143,10840.18600000013,0.9603038457067191,0.9642857142857143,0.9642047032185603
7,42000.0,10.0,10.0,0.9666666666666667,10867.073000000119,0.962945075022359,0.9666666666666667,0.9665784561664897
8,42000.0,10.0,10.0,0.9723809523809523,10841.597000000093,0.96928600553911,0.9723809523809523,0.9723842382349285
9,42000.0,10.0,10.0,0.9688095238095238,10859.632000000147,0.9653182360711147,0.9688095238095238,0.968673836020538
